YEAR,USA,RATE
1/1/1991,100,9.61
2/1/1991,100.5,9.29
3/1/1991,100.52,9.52
4/1/1991,100.35,9.53
5/1/1991,100.41,9.45
6/1/1991,100.57,9.67
7/1/1991,100.57,9.5
8/1/1991,100.41,9.15
9/1/1991,100.65,8.92
10/1/1991,100.97,8.91
11/1/1991,101.52,8.7
12/1/1991,101.89,8.35
1/1/1992,102.26,8.68
2/1/1992,103.03,8.83
3/1/1992,102.85,8.98
4/1/1992,102.58,8.85
5/1/1992,102.65,8.6
6/1/1992,102.62,8.43
7/1/1992,102.94,8.05
8/1/1992,103.41,8.01
9/1/1992,103.8,8.02
10/1/1992,104.11,8.21
11/1/1992,104.42,8.29
12/1/1992,104.31,8.14
1/1/1993,104.36,7.86
2/1/1993,104.16,7.53
3/1/1993,104.48,7.5
4/1/1993,105.13,7.43
5/1/1993,105.34,7.5
6/1/1993,105.74,7.34
7/1/1993,105.79,7.25
8/1/1993,106.14,6.97
9/1/1993,106.54,6.95
10/1/1993,106.83,6.86
11/1/1993,107.1,7.31
12/1/1993,107.6,7.13
1/1/1994,107.87,6.97
2/1/1994,108.11,7.32
3/1/1994,108.51,7.8
4/1/1994,108.83,8.32
5/1/1994,109.19,8.53
6/1/1994,109.4,8.46
7/1/1994,109.52,8.57
8/1/1994,109.77,8.56
9/1/1994,109.89,8.82
10/1/1994,110.13,9.03
11/1/1994,110.39,9.25
12/1/1994,110.36,9.18
1/1/1995,110.78,9.13
2/1/1995,111.29,8.73
3/1/1995,111.2,8.38
4/1/1995,111.38,8.26
5/1/1995,111.5,7.85
6/1/1995,111.92,7.53
7/1/1995,112.44,7.79
8/1/1995,112.73,7.88
9/1/1995,112.94,7.62
10/1/1995,113.04,7.45
11/1/1995,113.27,7.35
12/1/1995,113.69,7.11
1/1/1996,114.16,7
2/1/1996,114.35,7.32
3/1/1996,114.72,7.69
4/1/1996,115.05,7.92
5/1/1996,115.32,8.03
6/1/1996,115.43,8.29
7/1/1996,115.86,8.19
8/1/1996,115.81,8.09
9/1/1996,116.15,8.16
10/1/1996,116.25,7.86
11/1/1996,116.57,7.52
12/1/1996,116.87,7.64
1/1/1997,117.06,7.88
2/1/1997,117.34,7.65
3/1/1997,117.85,7.97
4/1/1997,118.07,8.08
5/1/1997,118.51,7.94
6/1/1997,118.57,7.58
7/1/1997,118.89,7.43
8/1/1997,119.31,7.58
9/1/1997,119.44,7.28
10/1/1997,120.09,7.21
11/1/1997,120.47,7.17
12/1/1997,120.88,6.99
1/1/1998,121.29,7.12
2/1/1998,122.19,7.09
3/1/1998,122.6,7.08
4/1/1998,123.19,7.15
5/1/1998,123.68,7.07
6/1/1998,124.47,6.96
7/1/1998,124.76,6.97
8/1/1998,125.33,6.92
9/1/1998,126.13,6.64
10/1/1998,126.63,6.83
11/1/1998,127.47,6.78
12/1/1998,128.05,6.83
1/1/1999,128.78,6.74
2/1/1999,129.33,6.89
3/1/1999,129.86,6.98
4/1/1999,130.53,6.93
5/1/1999,131.3,7.23
6/1/1999,131.91,7.63
7/1/1999,132.63,7.7
8/1/1999,133.48,7.8
9/1/1999,133.84,7.76
10/1/1999,134.7,7.96
11/1/1999,135.23,7.75
12/1/1999,135.89,8.06
1/1/2000,137.47,8.25
2/1/2000,137.32,8.31
3/1/2000,138.35,8.23
4/1/2000,139.3,8.13
5/1/2000,139.94,8.62
6/1/2000,140.86,8.22
7/1/2000,141.62,8.13
8/1/2000,142.18,7.99
9/1/2000,143.06,7.88
10/1/2000,143.87,7.68
11/1/2000,144.75,7.73
12/1/2000,145.59,7.13
1/1/2001,146.53,7.15
2/1/2001,147.54,7.12
3/1/2001,148.33,6.91
4/1/2001,149.18,7.12
5/1/2001,149.86,7.2
6/1/2001,150.56,7.11
7/1/2001,151.42,7.03
8/1/2001,152.16,6.92
9/1/2001,152.94,6.72
10/1/2001,153.89,6.64
11/1/2001,154.34,7.02
12/1/2001,155.34,7.16
1/1/2002,156.27,6.96
2/1/2002,157.18,6.81
3/1/2002,158.15,7.18
4/1/2002,159.03,6.88
5/1/2002,160.11,6.76
6/1/2002,161.11,6.55
7/1/2002,162.12,6.34
8/1/2002,163.17,6.22
9/1/2002,164.18,5.99
