Type,Year,Sex,Age,Population
est7,2010,Both,0to4,20188773
est7,2010,Male,0to4,10312641
est7,2010,Female,0to4,9876132
est7,2011,Both,0to4,20122646
est7,2011,Male,0to4,10279680
est7,2011,Female,0to4,9842966
est7,2012,Both,0to4,19975163
est7,2012,Male,0to4,10204076
est7,2012,Female,0to4,9771087
est7,2013,Both,0to4,19847941
est7,2013,Male,0to4,10141030
est7,2013,Female,0to4,9706911
est7,2014,Both,0to4,19870818
est7,2014,Male,0to4,10158757
est7,2014,Female,0to4,9712061
est7,2015,Both,0to4,19915730
est7,2015,Male,0to4,10185334
est7,2015,Female,0to4,9730396
est7,2016,Both,0to4,19919577
est7,2016,Male,0to4,10185106
est7,2016,Female,0to4,9734471
est7,2017,Both,0to4,19938860
est7,2017,Male,0to4,10195968
est7,2017,Female,0to4,9742892
est7,2010,Both,5to9,20331148
est7,2010,Male,5to9,10380281
est7,2010,Female,5to9,9950867
est7,2011,Both,5to9,20332792
est7,2011,Male,5to9,10381510
est7,2011,Female,5to9,9951282
est7,2012,Both,5to9,20467414
est7,2012,Male,5to9,10451844
est7,2012,Female,5to9,10015570
est7,2013,Both,5to9,20567771
est7,2013,Male,5to9,10502801
est7,2013,Female,5to9,10064970
est7,2014,Both,5to9,20515383
est7,2014,Male,5to9,10474907
est7,2014,Female,5to9,10040476
est7,2015,Both,5to9,20475944
est7,2015,Male,5to9,10453297
est7,2015,Female,5to9,10022647
est7,2016,Both,5to9,20429504
est7,2016,Male,5to9,10431307
est7,2016,Female,5to9,9998197
est7,2017,Both,5to9,20304238
est7,2017,Male,5to9,10368141
est7,2017,Female,5to9,9936097
est7,2010,Both,10to14,20680725
est7,2010,Male,10to14,10578235
est7,2010,Female,10to14,10102490
est7,2011,Both,10to14,20714211
est7,2011,Male,10to14,10587444
est7,2011,Female,10to14,10126767
est7,2012,Both,10to14,20671622
est7,2012,Male,10to14,10561060
est7,2012,Female,10to14,10110562
est7,2013,Both,10to14,20653748
est7,2013,Male,10to14,10545471
est7,2013,Female,10to14,10108277
est7,2014,Both,10to14,20669496
est7,2014,Male,10to14,10548588
est7,2014,Female,10to14,10120908
est7,2015,Both,10to14,20610350
est7,2015,Male,10to14,10514773
est7,2015,Female,10to14,10095577
est7,2016,Both,10to14,20627202
est7,2016,Male,10to14,10525144
est7,2016,Female,10to14,10102058
est7,2017,Both,10to14,20778454
est7,2017,Male,10to14,10605072
est7,2017,Female,10to14,10173382
est7,2010,Both,15to19,21981324
est7,2010,Male,15to19,11278027
est7,2010,Female,15to19,10703297
est7,2011,Both,15to19,21660368
est7,2011,Male,15to19,11120519
est7,2011,Female,15to19,10539849
est7,2012,Both,15to19,21373098
est7,2012,Male,15to19,10962668
est7,2012,Female,15to19,10410430
est7,2013,Both,15to19,21183401
est7,2013,Male,15to19,10850873
est7,2013,Female,15to19,10332528
est7,2014,Both,15to19,21060374
est7,2014,Male,15to19,10778306
est7,2014,Female,15to19,10282068
est7,2015,Both,15to19,21094434
est7,2015,Male,15to19,10789964
est7,2015,Female,15to19,10304470
est7,2016,Both,15to19,21151384
est7,2016,Male,15to19,10812867
est7,2016,Female,15to19,10338517
est7,2017,Both,15to19,21131660
est7,2017,Male,15to19,10800491
est7,2017,Female,15to19,10331169
est7,2010,Both,20to24,21701999
est7,2010,Male,20to24,11072538
est7,2010,Female,20to24,10629461
est7,2011,Both,20to24,22162379
est7,2011,Male,20to24,11305299
est7,2011,Female,20to24,10857080
est7,2012,Both,20to24,22591609
est7,2012,Male,20to24,11545676
est7,2012,Female,20to24,11045933
est7,2013,Both,20to24,22819684
est7,2013,Male,20to24,11684225
est7,2013,Female,20to24,11135459
est7,2014,Both,20to24,22883014
est7,2014,Male,20to24,11730341
est7,2014,Female,20to24,11152673
est7,2015,Both,20to24,22686787
est7,2015,Male,20to24,11645664
est7,2015,Female,20to24,11041123
est7,2016,Both,20to24,22384013
