state,value
California,544900
Texas,188700
New York,283800
Florida,227800
Illinois,176800
Pennsylvania,170500
Ohio,135800
Michigan,146600
Georgia,179200
North Carolina,177400
New Jersey,321200
Virginia,252900
Washington,375200
Massachusetts,401500
Indiana,137300
Arizona,244600
Tennessee,162000
Missouri,155700
Maryland,285400
Wisconsin,181800
Minnesota,229200
Colorado,368100
Alabama,128300
South Carolina,161800
Louisiana,146100
Kentucky,141600
Oregon,338300
Oklahoma,120600
Connecticut,241800
Iowa,140500
Mississippi,123200
Arkansas,122800
Kansas,136800
Utah,320900
Nevada,284300
New Mexico,190100
West Virginia,96800
Nebraska,161200
Idaho,241300
Hawaii,619000
Maine,228400
New Hampshire,270200
Rhode Island,276000
Montana,227500
Delaware,232100
South Dakota,183200
Alaska,310200
North Dakota,203300
Vermont,200000
District of Columbia,572100
Wyoming,220800
