Group,2000 Total,2000 Owner,2001 Total,2001 Owner,2002 Total,2002 Owner,2003 Total,2003 Owner,2004 Total,2004 Owner,2005 Total,2005 Owner,2006 Total,2006 Owner,2007 Total,2007 Owner,2008 Total,2008 Owner,2009 Total,2009 Owner,2010 Total,2010 Owner,2011 Total,2011 Owner,2012 Total,2012 Owner,2013 Total,2013 Owner,2014 Total,2014 Owner,2015 Total,2015 Owner,2016 Total,2016 Owner,2017 Total,2017 Owner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,102584,69222,103949,70529,105320,71517,106111,72428,107606,74274,109484,75412,110693,76131,111258,75792,111672,75725,112295,75635,112899,75460,113545,75097,114568,74966,115309,75077,116415,75038,117846,75022,118887,75401,119962,76605
25 and under,5966,1300,6269,1414,6394,1464,6475,1477,6603,1662,6614,1702,6645,1645,6549,1623,6284,1484,6157,1436,6116,1397,6079,1373,6075,1319,6160,1368,6161,1340,6148,1341,6189,1355,5965,1345
25-29,8199,3098,8113,3161,8259,3205,8257,3289,8573,3446,8893,3638,9066,3784,9249,3749,9115,3647,9153,3448,9124,3355,9063,3134,8782,3009,8778,2993,8885,2908,9047,2867,9123,2816,9312,2986
30-34,9941,5418,10003,5488,10210,5602,10138,5728,9961,5720,9696,5507,9520,5323,9431,5132,9366,5007,9412,4937,9568,4934,9957,4958,9973,4773,10018,4818,10127,4768,10133,4654,10189,4630,10198,4661
35-39,11576,7547,11255,7379,10961,7143,10834,7055,10538,6971,10648,7090,10630,7058,10592,6887,10575,6825,10273,6515,9887,6119,9668,5777,9570,5447,9556,5331,9739,5454,9864,5452,10133,5602,10395,5861
40-44,12016,8485,12147,8597,11879,8521,11810,8420,11880,8545,11858,8498,11603,8255,11221,7900,11001,7630,10797,7420,10624,7208,10516,7031,10674,6990,10408,6766,10205,6451,10129,6237,9912,6140,9772,6041
45-49,10837,8132,11199,8449,11241,8413,11401,8600,11694,8917,11916,8935,12112,9069,12110,8963,11996,8831,11962,8649,11798,8493,11451,8124,10973,7666,10765,7496,10596,7262,10608,7217,10561,7048,10579,7138
50-54,9416,7413,9996,7818,10158,7908,10248,7986,10414,8149,10716,8390,11005,8549,11177,8593,11442,8744,11704,8947,11828,8872,11786,8763,11851,8698,11902,8644,11771,8551,11497,8254,11273,8076,10931,7773
55-59,7457,5952,7604,6156,8289,6699,8595,6952,9013,7318,9614,7750,10020,8053,10100,8068,10242,8126,10314,8105,10534,8186,10849,8385,11294,8607,11373,8616,11428,8621,11614,8675,11734,8683,11649,8595
60-64,6013,4849,6164,5040,6443,5255,6811,5581,7179,5917,7422,6077,7682,6263,8178,6667,8621,6977,8996,7246,9431,7580,9842,7857,9954,7827,10022,7772,10224,7896,10538,8033,10688,8138,11034,8489
65-69,5680,4736,5585,4603,5663,4695,5599,4621,5710,4753,5968,4944,6136,5058,6386,5214,6658,5433,6880,5639,7103,5796,7307,5970,7988,6482,8357,6730,8766,7041,9338,7402,9671,7642,9808,7761
70-74,5421,4422,5341,4406,5155,4254,5189,4258,5113,4265,5073,4204,5108,4237,5106,4209,5126,4185,5333,4367,5499,4532,5557,4630,5816,4858,6205,5136,6482,5290,6719,5465,6975,5696,7595,6179
75 and over,10061,7872,10272,8019,10667,8359,10758,8463,10928,8612,11066,8677,11167,8839,11159,8787,11246,8836,11314,8925,11387,8988,11470,9095,11619,9290,11767,9407,12032,9456,12211,9426,12442,9575,12724,9777
35 and under,24106,9815,24384,10062,24864,10270,24869,10493,25136,10829,25204,10847,25231,10751,25229,10504,24765,10138,24722,9821,24809,9685,25099,9466,24830,9101,24956,9180,25173,9017,25327,8862,25500,8801,25476,8993
35-44,23592,16031,23401,15976,22840,15665,22644,15474,22418,15516,22506,15588,22233,15313,21813,14787,21576,14455,21070,13935,20511,13327,20184,12808,20243,12437,19964,12097,19944,11905,19993,11689,20045,11742,20167,11901
45-54,20254,15545,21194,16267,21399,16320,21648,16586,22108,17065,22632,17325,23117,17618,23287,17556,23438,17575,23665,17596,23626,17365,23236,16888,22824,16364,22667,16141,22366,15812,22105,15471,21834,15124,21511,14911
55-64,13470,10801,13769,11196,14732,11954,15406,12533,16193,13234,17036,13827,17703,14316,18278,14735,18863,15103,19310,15352,19965,15766,20691,16242,21248,16434,21395,16388,21652,16518,22153,16708,22422,16821,22682,17084
65 and over,21163,17031,21199,17028,21485,17307,21545,17341,21750,17630,22107,17825,22411,18133,22651,18210,23030,18453,23528,18931,23989,19316,24333,19695,25423,20629,26328,21273,27280,21787,28268,22293,29088,22913,30127,23716
