YEAR,USA
1/1/1991,100
2/1/1991,100.5
3/1/1991,100.52
4/1/1991,100.35
5/1/1991,100.41
6/1/1991,100.57
7/1/1991,100.57
8/1/1991,100.41
9/1/1991,100.65
10/1/1991,100.97
11/1/1991,101.52
12/1/1991,101.89
1/1/1992,102.26
2/1/1992,103.03
3/1/1992,102.85
4/1/1992,102.58
5/1/1992,102.65
6/1/1992,102.62
7/1/1992,102.94
8/1/1992,103.41
9/1/1992,103.8
10/1/1992,104.11
11/1/1992,104.42
12/1/1992,104.31
1/1/1993,104.36
2/1/1993,104.16
3/1/1993,104.48
4/1/1993,105.13
5/1/1993,105.34
6/1/1993,105.74
7/1/1993,105.79
8/1/1993,106.14
9/1/1993,106.54
10/1/1993,106.83
11/1/1993,107.1
12/1/1993,107.6
1/1/1994,107.87
2/1/1994,108.11
3/1/1994,108.51
4/1/1994,108.83
5/1/1994,109.19
6/1/1994,109.4
7/1/1994,109.52
8/1/1994,109.77
9/1/1994,109.89
10/1/1994,110.13
11/1/1994,110.39
12/1/1994,110.36
1/1/1995,110.78
2/1/1995,111.29
3/1/1995,111.2
4/1/1995,111.38
5/1/1995,111.5
6/1/1995,111.92
7/1/1995,112.44
8/1/1995,112.73
9/1/1995,112.94
10/1/1995,113.04
11/1/1995,113.27
12/1/1995,113.69
1/1/1996,114.16
2/1/1996,114.35
3/1/1996,114.72
4/1/1996,115.05
5/1/1996,115.32
6/1/1996,115.43
7/1/1996,115.86
8/1/1996,115.81
9/1/1996,116.15
10/1/1996,116.25
11/1/1996,116.57
12/1/1996,116.87
1/1/1997,117.06
2/1/1997,117.34
3/1/1997,117.85
4/1/1997,118.07
5/1/1997,118.51
6/1/1997,118.57
7/1/1997,118.89
8/1/1997,119.31
9/1/1997,119.44
10/1/1997,120.09
11/1/1997,120.47
12/1/1997,120.88
1/1/1998,121.29
2/1/1998,122.19
3/1/1998,122.6
4/1/1998,123.19
5/1/1998,123.68
6/1/1998,124.47
7/1/1998,124.76
8/1/1998,125.33
9/1/1998,126.13
10/1/1998,126.63
11/1/1998,127.47
12/1/1998,128.05
1/1/1999,128.78
2/1/1999,129.33
3/1/1999,129.86
4/1/1999,130.53
5/1/1999,131.3
6/1/1999,131.91
7/1/1999,132.63
8/1/1999,133.48
9/1/1999,133.84
10/1/1999,134.7
11/1/1999,135.23
12/1/1999,135.89
1/1/2000,137.47
2/1/2000,137.32
3/1/2000,138.35
4/1/2000,139.3
5/1/2000,139.94
6/1/2000,140.86
7/1/2000,141.62
8/1/2000,142.18
9/1/2000,143.06
10/1/2000,143.87
11/1/2000,144.75
12/1/2000,145.59
1/1/2001,146.53
2/1/2001,147.54
3/1/2001,148.33
4/1/2001,149.18
5/1/2001,149.86
6/1/2001,150.56
7/1/2001,151.42
8/1/2001,152.16
9/1/2001,152.94
10/1/2001,153.89
11/1/2001,154.34
12/1/2001,155.34
1/1/2002,156.27
2/1/2002,157.18
3/1/2002,158.15
4/1/2002,159.03
5/1/2002,160.11
6/1/2002,161.11
7/1/2002,162.12
8/1/2002,163.17
9/1/2002,164.18
10/1/2002,165.3
11/1/2002,166.27
12/1/2002,167.48
1/1/2003,168.52
2/1/2003,169.6
3/1/2003,170.14
4/1/2003,171.22
5/1/2003,172.13
6/1/2003,172.96
7/1/2003,174.22
8/1/2003,175.49
9/1/2003,176.92
10/1/2003,178
11/1/2003,179.34
12/1/2003,180.88
1/1/2004,182.11
2/1/2004,183.44
3/1/2004,184.71
4/1/2004,186.27
5/1/2004,188.06
6/1/2004,189.99
7/1/2004,191.57
8/1/2004,192.9
9/1/2004,194.38
10/1/2004,195.86
11/1/2004,197.65
12/1/2004,199.34
1/1/2005,200.86
2/1/2005,202.27
3/1/2005,204.38
4/1/2005,206.13
5/1/2005,207.78
6/1/2005,209.57
7/1/2005,211.61
8/1/2005,213.2
9/1/2005,215.21
10/1/2005,216.39
11/1/2005,217.76
12/1/2005,219.05
1/1/2006,220.52
2/1/2006,220.95
3/1/2006,221.77
4/1/2006,222.21
5/1/2006,222.86
6/1/2006,222.8
7/1/2006,222.73
8/1/2006,223.34
9/1/2006,223.32
10/1/2006,223.63
11/1/2006,224.22
12/1/2006,224.4
1/1/2007,225.09
2/1/2007,225.13
3/1/2007,226.2
4/1/2007,226.18
5/1/2007,225.05
6/1/2007,224.28
7/1/2007,223.2
8/1/2007,222.19
9/1/2007,221.26
10/1/2007,219.53
11/1/2007,218.05
12/1/2007,216.98
1/1/2008,215
2/1/2008,213.73
3/1/2008,211.88
4/1/2008,209.57
5/1/2008,207.24
6/1/2008,205.92
7/1/2008,204.07
8/1/2008,202.05
9/1/2008,200.32
10/1/2008,198.52
11/1/2008,195.02
12/1/2008,194.44
1/1/2009,196.26
2/1/2009,196.59
3/1/2009,194.13
4/1/2009,193.09
5/1/2009,192.68
6/1/2009,192.58
7/1/2009,192.06
8/1/2009,191.67
9/1/2009,191.53
10/1/2009,191.97
11/1/2009,192.41
12/1/2009,190.47
1/1/2010,190.75
2/1/2010,189.91
3/1/2010,189.78
4/1/2010,189.96
5/1/2010,190.04
6/1/2010,188.01
7/1/2010,186.72
8/1/2010,186.62
9/1/2010,184.88
10/1/2010,185.16
11/1/2010,184.46
12/1/2010,183.06
1/1/2011,182.35
2/1/2011,180.39
3/1/2011,178.62
4/1/2011,179.04
5/1/2011,178.58
6/1/2011,179.24
7/1/2011,179.63
8/1/2011,179.12
9/1/2011,180.2
10/1/2011,179.16
11/1/2011,180.05
12/1/2011,180.54
1/1/2012,180.05
2/1/2012,180.43
3/1/2012,181.89
4/1/2012,183
5/1/2012,184.2
6/1/2012,184.87
7/1/2012,185.34
8/1/2012,186.42
9/1/2012,187.15
10/1/2012,188.17
11/1/2012,189.16
12/1/2012,190.09
1/1/2013,191.59
