Date,Value
11/1/2018,0.71
7/1/2018,0.71
7/1/2017,0.72
7/1/2016,0.74
7/1/2015,0.76
7/1/2014,0.76
7/1/2013,0.71
7/1/2012,0.75
7/1/2011,0.75
7/1/2010,0.84
7/1/2009,0.88
7/1/2008,0.95
7/1/2007,0.96
7/1/2006,0.97
7/1/2005,0.93
7/1/2004,0.93
7/1/2003,0.86
7/1/2002,0.93
7/1/2001,0.99
7/1/2000,1.12
7/1/1999,1.15
7/1/1998,1.18
7/1/1997,1.21
7/1/1996,1.17
7/1/1995,1.2
7/1/1994,1.23
7/1/1993,1.33
7/1/1992,1.4
7/1/1991,1.35
7/1/1990,1.14
7/1/1989,0.95
7/1/1988,0.91
7/1/1987,0.9
7/1/1986,0.93
7/1/1985,0.89
7/1/1984,0.87
7/1/1983,0.92
7/1/1982,0.96
7/1/1981,0.99
7/1/1980,0.96
7/1/1979,1.11
7/1/1978,1.06
7/1/1977,1.01
7/1/1976,0.95
7/1/1975,0.99
7/1/1974,0.92
7/1/1973,0.96
7/1/1972,1.08
7/1/1971,1.27
7/1/1970,1.17
7/1/1969,0.98
7/1/1968,1
7/1/1967,1.09
7/1/1966,1.16
7/1/1965,1.26
7/1/1964,1.4
7/1/1963,1.45
7/1/1962,1.55
7/1/1961,1.67
7/1/1960,1.6
7/1/1959,1.69
7/1/1958,1.68
7/1/1957,1.82
7/1/1956,1.79
7/1/1955,1.78
7/1/1954,1.77
7/1/1953,1.67
7/1/1952,1.73
7/1/1951,1.71
7/1/1950,2.07
7/1/1949,1.74
7/1/1948,1.74
7/1/1947,1.94
7/1/1946,1.04
7/1/1945,1.11
7/1/1944,1.21
7/1/1943,1.39
7/1/1942,1.09
7/1/1941,0.97
7/1/1940,0.95
7/1/1939,0.81
7/1/1938,0.78
7/1/1937,0.6
7/1/1936,0.63
7/1/1935,0.69
7/1/1934,0.63
7/1/1933,0.59
7/1/1932,0.65
7/1/1931,0.78
7/1/1930,1.08
7/1/1929,1.04
7/1/1928,1.24
7/1/1927,1.4
7/1/1926,1.35
7/1/1925,1.51
7/1/1924,1.93
7/1/1923,1.72
7/1/1922,1.39
7/1/1921,1.95
7/1/1920,1.86
7/1/1919,1.27
7/1/1918,-0.06
7/1/1917,1.28
7/1/1916,1.41
7/1/1915,1.45
7/1/1914,1.94
7/1/1913,1.98
7/1/1912,1.57
7/1/1911,1.58
7/1/1910,2.12
7/1/1909,2.01
7/1/1908,1.96
7/1/1907,1.82
7/1/1906,1.94
7/1/1905,2.02
7/1/1904,1.9
7/1/1903,1.86
7/1/1902,2.04
7/1/1901,1.96
